127.0.0.1 - - [26/Sep/2023:10:35:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Sep/2023:10:35:18 +0900] "GET /JstlProject/jstlTest/ex1_jstl.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [26/Sep/2023:10:45:25 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 500 2490
0:0:0:0:0:0:0:1 - - [26/Sep/2023:10:53:55 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:02:05 +0900] "GET /JstlProject/jstlTest/ex1_jstl.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:02:05 +0900] "GET /JstlProject/jstlTest/ex1_jstl.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:02:06 +0900] "GET /JstlProject/jstlTest/ex1_jstl.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:02:06 +0900] "GET /JstlProject/jstlTest/ex1_jstl.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:02:06 +0900] "GET /JstlProject/jstlTest/ex1_jstl.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:02:07 +0900] "GET /JstlProject/jstlTest/ex1_jstl.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:02:16 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:02:59 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:09:26 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:19:46 +0900] "GET /JstlProject/jstlTest/ex3_jstl_form.jsp HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:19:49 +0900] "POST /JstlProject/jstlTest/ex3_jstl_form.jsp HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:19:57 +0900] "POST /JstlProject/jstlTest/ex3_jstl_form.jsp HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:20:05 +0900] "POST /JstlProject/jstlTest/ex3_jstl_form.jsp HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:20:11 +0900] "POST /JstlProject/jstlTest/ex3_jstl_form.jsp HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:21:42 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:21:43 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:21:43 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:21:43 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:21:44 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:21:44 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:21:44 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:21:44 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:21:44 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:21:44 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:21:45 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:21:45 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:21:45 +0900] "GET /JstlProject/jstlTest/ex2_jstl_format.jsp HTTP/1.1" 200 1969
